actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,11.365365982055664
0.0,35.29247283935547
0.0,58.141319274902344
188.84799194335938,80.67353057861328
205.9004364013672,102.35997009277344
219.5424041748047,122.75968170166016
236.59483337402344,142.66903686523438
250.2367401123047,161.58782958984375
263.87872314453125,179.68116760253906
277.5206298828125,197.0866241455078
291.16259765625,213.91883850097656
301.39404296875,229.6914520263672
304.80450439453125,243.41720581054688
304.80450439453125,254.85533142089844
301.39404296875,263.80517578125
301.39404296875,271.2633972167969
301.39404296875,277.47857666015625
301.39404296875,282.65789794921875
301.39404296875,286.9739990234375
297.9835205078125,289.98883056640625
297.9835205078125,292.50115966796875
294.57305908203125,294.01287841796875
287.7520751953125,294.1087951660156
284.34161376953125,293.6068115234375
274.11016845703125,291.4427490234375
263.87872314453125,287.89361572265625
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,6.928652763366699
0.0,35.835105895996094
193.2340545654297,62.833396911621094
237.5703582763672,92.89691162109375
268.26470947265625,123.18710327148438
295.54864501953125,153.08428955078125
322.83245849609375,182.65394592285156
346.70587158203125,211.36875915527344
370.5793151855469,239.37120056152344
394.4527282714844,266.7799987792969
